,voted_for_republican,very_freq_voter,freq_voter,voted_03_05_2013,voted_05_21_2013,voted_06_07_2016,age,party,education,ismarried,home_owner,renters,ethnic,sex,hhcount
175,0,0,1,0,0,0,53.0,R,HS_drop_out,N,,Y,,F,1
176,1,1,1,0,0,1,25.0,D,bachelors,N,,Y,,F,2
177,0,0,1,0,1,1,25.0,D,masters,N,H,N,hispanic,M,3
178,0,1,1,1,1,1,68.0,D,trade_school,Y,H,N,asian,F,2
179,0,1,1,1,1,1,67.0,D,bachelors,Y,H,N,white,F,3
180,0,0,0,0,0,0,87.0,D,some_college,N,H,N,white,M,1
181,1,0,0,0,0,1,26.0,GR,high_school,N,,N,white,F,2
182,1,1,1,0,1,1,53.0,D,trade_school,N,H,N,,M,3
183,0,0,1,0,1,1,61.0,D,bachelors,Y,H,Y,white,F,2
184,1,0,0,0,0,1,59.0,D,some_college,N,,N,asian,M,1
185,1,0,0,0,0,0,60.0,D,some_college,N,,N,hispanic,F,1
186,1,1,1,1,1,1,69.0,D,some_college,N,H,Y,white,F,1
187,1,1,1,0,0,1,50.0,R,HS_drop_out,N,H,N,white,M,1
188,0,1,1,1,1,1,55.0,D,some_college,N,,Y,black,M,1
189,1,1,1,1,1,1,74.0,DS,trade_school,N,H,Y,black,M,2
190,1,1,1,1,1,1,63.0,R,doctorate,Y,H,N,black,F,3
191,1,1,1,1,1,0,56.0,DS,high_school,Y,H,N,,F,4
192,1,0,1,0,0,1,31.0,DS,trade_school,N,,Y,hispanic,M,2
193,0,0,0,0,0,0,19.0,R,HS_drop_out,N,,Y,hispanic,,1
194,1,1,1,1,1,1,81.0,DS,high_school,Y,,Y,,F,2
195,0,1,1,0,0,1,40.0,D,trade_school,N,,N,black,M,2
196,0,0,1,1,0,0,43.0,DS,trade_school,N,,Y,asian,M,2
197,0,0,0,0,0,1,25.0,D,trade_school,N,,Y,,,2
198,1,0,0,0,0,1,24.0,D,trade_school,N,H,N,jewish,M,4
199,1,1,1,1,1,1,56.0,R,HS_drop_out,N,,Y,asian,F,1
200,0,0,0,0,0,0,68.0,D,some_college,N,,N,asian,M,1
201,0,0,1,1,0,1,29.0,R,doctorate,N,,Y,black,M,2
202,1,1,1,1,1,1,62.0,R,doctorate,N,,Y,,F,2
203,1,0,1,0,0,0,64.0,D,bachelors,Y,,N,black,M,2
204,0,0,0,0,0,1,24.0,D,trade_school,N,,Y,white,F,3
205,0,0,1,0,1,1,81.0,D,bachelors,Y,H,N,,F,2
206,0,1,1,1,1,1,75.0,D,some_college,N,,Y,hispanic,F,1
207,1,0,0,0,0,1,33.0,D,some_college,N,,Y,,F,1
208,0,0,1,0,1,1,69.0,R,HS_drop_out,N,,Y,asian,F,1
209,0,1,1,1,1,1,89.0,D,masters,N,H,N,black,M,2
210,1,0,1,1,0,1,63.0,DS,,N,H,Y,,M,1
211,1,1,1,1,1,1,76.0,D,masters,Y,H,N,white,F,2
212,0,0,1,1,0,0,85.0,R,HS_drop_out,N,,Y,,M,1
213,0,1,1,0,0,1,28.0,R,HS_drop_out,N,,Y,white,F,1
214,0,1,1,1,1,1,81.0,D,some_college,N,H,N,hispanic,M,1
215,1,1,1,0,0,1,33.0,R,doctorate,N,,N,white,M,2
216,1,1,1,1,1,1,79.0,DS,,Y,H,N,black,F,1
217,1,1,1,1,1,1,88.0,D,bachelors,Y,,Y,white,F,2
218,0,0,0,0,0,0,34.0,D,some_college,N,H,Y,,M,1
219,1,0,1,0,1,0,48.0,DS,high_school,N,,N,asian,F,2
220,0,1,1,1,1,1,79.0,D,bachelors,N,H,N,white,M,4
221,0,0,0,0,0,0,54.0,D,some_college,N,H,Y,white,M,1
222,1,1,1,1,1,1,65.0,R,HS_drop_out,N,H,Y,white,M,1
223,0,0,1,0,1,0,88.0,D,some_college,Y,,Y,white,F,1
224,0,1,1,1,1,1,69.0,D,trade_school,Y,,N,white,M,3
225,0,0,0,0,0,1,27.0,D,trade_school,N,,Y,,M,4
226,1,0,1,0,1,0,32.0,D,masters,N,H,N,white,M,3
227,0,1,1,1,1,1,89.0,DS,,Y,H,N,indian,F,1
228,0,0,1,0,0,1,36.0,D,some_college,N,,N,,F,1
229,0,1,1,1,1,1,48.0,R,HS_drop_out,N,H,N,white,M,1
230,1,1,1,1,1,1,72.0,R,doctorate,N,H,N,white,F,5
231,1,0,0,0,0,1,28.0,D,trade_school,N,,Y,asian,F,3
232,0,0,0,0,0,0,32.0,D,some_college,N,,Y,asian,M,1
233,0,1,1,1,1,1,40.0,D,bachelors,N,H,N,white,M,2
234,0,1,1,1,1,1,63.0,D,masters,N,H,N,,F,3
235,1,0,1,1,0,1,84.0,D,trade_school,Y,H,N,white,M,4
236,1,1,1,1,1,1,74.0,D,some_college,N,H,Y,jewish,F,1
237,0,1,1,1,1,1,52.0,D,trade_school,N,H,N,white,M,4
238,1,1,1,1,1,1,55.0,D,masters,N,H,N,white,F,2
239,0,0,1,1,0,1,73.0,D,high_school,N,H,N,black,M,4
240,1,1,1,1,1,0,55.0,DS,high_school,Y,H,N,,M,2
241,1,0,0,0,0,1,32.0,DS,trade_school,N,,N,white,F,2
242,1,0,1,0,0,0,41.0,R,doctorate,Y,H,N,white,F,5
243,0,1,1,1,1,1,76.0,D,bachelors,N,H,N,white,M,2
244,0,0,0,0,0,1,52.0,D,some_college,N,H,Y,asian,M,1
245,1,1,1,1,1,1,42.0,D,some_college,N,,N,white,M,1
246,1,0,0,0,0,1,45.0,D,some_college,N,,Y,white,M,1
247,1,1,1,1,1,1,81.0,R,doctorate,N,H,N,white,M,3
248,0,0,0,0,0,0,29.0,D,some_college,N,,Y,,M,1
249,1,1,1,1,1,1,84.0,R,masters,Y,H,N,white,M,2
250,1,0,0,0,0,0,26.0,DS,,N,,Y,white,F,1
251,1,0,0,0,0,1,49.0,D,high_school,N,H,N,black,F,3
252,0,1,1,1,1,1,80.0,D,some_college,N,,Y,white,M,1
253,1,1,1,0,0,1,27.0,D,trade_school,N,,Y,,F,3
254,1,1,1,1,1,1,68.0,DS,,N,,Y,white,M,1
255,0,1,1,1,1,1,51.0,R,masters,N,,N,asian,M,2
256,0,1,1,1,1,1,63.0,D,some_college,N,,N,,F,1
257,0,1,1,1,1,1,37.0,D,masters,N,H,Y,white,F,2
258,0,1,1,1,1,1,86.0,D,some_college,N,H,N,,M,1
259,0,1,1,1,1,1,46.0,D,some_college,N,H,N,white,F,1
260,1,1,1,1,1,1,85.0,DS,trade_school,Y,H,N,black,M,2
261,0,1,1,1,1,0,82.0,DS,,Y,,Y,white,M,1
262,0,0,0,0,0,1,69.0,D,bachelors,Y,H,N,white,F,6
263,0,1,1,1,1,1,67.0,R,high_school,Y,,Y,black,F,4
264,1,0,1,0,1,0,81.0,R,doctorate,N,H,N,black,F,2
265,1,1,1,0,0,1,31.0,D,trade_school,N,,Y,white,M,3
266,0,1,1,1,1,1,41.0,D,bachelors,N,,Y,black,M,2
267,1,1,1,1,1,1,83.0,R,HS_drop_out,N,H,N,black,M,1
268,1,0,0,0,0,1,25.0,D,bachelors,N,,Y,white,F,2
269,0,1,1,1,1,1,71.0,D,bachelors,N,,Y,white,F,3
270,0,0,0,0,0,1,27.0,DS,trade_school,N,,Y,black,M,3
271,0,1,1,1,1,1,65.0,D,masters,N,H,N,white,F,3
272,0,1,1,1,1,1,81.0,D,some_college,N,,Y,white,F,1
273,0,0,0,0,0,1,33.0,D,high_school,N,,Y,white,M,5
274,0,0,1,0,0,1,60.0,D,some_college,N,H,Y,white,F,1
275,1,1,1,1,1,1,94.0,DS,,N,,Y,asian,M,1
276,1,1,1,1,1,1,70.0,R,masters,Y,H,N,,M,4
277,1,0,0,0,0,1,27.0,D,bachelors,N,,Y,white,F,2
278,1,1,1,0,0,1,36.0,D,bachelors,N,,Y,,M,2
279,1,1,1,1,1,1,43.0,R,doctorate,Y,H,N,white,M,2
280,1,1,1,1,1,1,73.0,D,bachelors,Y,H,N,,F,3
281,0,0,1,0,1,1,83.0,D,some_college,N,H,N,white,M,1
282,1,1,1,1,1,1,66.0,D,some_college,N,,Y,white,M,1
283,0,1,1,1,0,1,45.0,R,HS_drop_out,N,,Y,white,M,1
284,0,1,1,1,1,1,74.0,D,some_college,N,H,N,white,F,1
285,1,1,1,1,1,1,70.0,D,bachelors,Y,H,N,,M,3
286,1,0,1,1,0,1,62.0,D,bachelors,Y,H,N,hispanic,F,4
287,1,1,1,0,1,1,78.0,D,some_college,N,H,N,jewish,F,1
288,0,1,1,1,1,1,67.0,D,bachelors,Y,H,N,white,M,4
289,0,1,1,1,1,1,80.0,D,bachelors,N,H,N,black,M,2
290,1,1,1,1,1,1,90.0,R,doctorate,Y,H,Y,,M,2
291,0,1,1,1,1,1,85.0,D,masters,N,,Y,indian,M,2
292,1,0,1,1,0,1,76.0,D,masters,Y,H,N,black,M,3
293,0,1,1,1,1,1,78.0,D,bachelors,Y,H,Y,,M,2
294,1,1,1,1,1,1,66.0,D,bachelors,N,H,N,black,M,2
295,1,0,1,0,1,0,36.0,DS,high_school,Y,,Y,white,F,2
296,0,1,1,1,1,1,69.0,D,bachelors,N,,Y,hispanic,M,2
297,1,1,1,1,1,1,70.0,D,masters,N,H,N,black,F,2
298,1,1,1,1,1,1,48.0,D,some_college,N,,Y,white,F,1
299,1,1,1,1,1,1,69.0,R,doctorate,N,H,N,,M,2
300,0,0,0,0,0,1,45.0,D,masters,N,H,N,,F,4
301,1,1,1,1,1,1,70.0,R,HS_drop_out,N,H,Y,white,F,1
302,1,1,1,0,0,1,46.0,D,bachelors,N,,Y,white,M,2
303,1,1,1,0,0,1,55.0,D,some_college,N,H,N,white,M,1
304,0,0,1,0,1,1,62.0,D,some_college,N,,N,,M,1
305,1,1,1,1,1,1,61.0,D,bachelors,N,H,N,white,F,2
306,0,1,1,1,1,0,91.0,R,HS_drop_out,N,,Y,white,F,1
307,0,0,1,0,1,1,39.0,D,some_college,N,,Y,,,1
308,0,0,1,0,1,1,26.0,D,masters,N,,Y,hispanic,F,3
309,1,1,1,1,1,1,70.0,YY,high_school,N,,Y,white,M,2
310,1,0,0,0,0,1,47.0,D,trade_school,N,H,N,,F,4
311,0,0,0,0,0,1,60.0,D,trade_school,N,,N,black,F,4
312,1,1,1,0,1,1,59.0,D,trade_school,N,H,Y,white,F,2
313,1,0,0,0,0,1,32.0,D,bachelors,N,,Y,white,M,2
314,0,0,0,0,0,0,33.0,DS,,N,,Y,white,M,1
315,0,1,1,1,0,0,42.0,D,bachelors,Y,H,N,jewish,F,2
316,0,1,1,1,1,1,35.0,D,trade_school,N,,Y,,M,2
317,1,0,0,0,0,1,41.0,R,doctorate,N,H,N,black,F,2
318,1,0,0,0,0,0,92.0,R,doctorate,Y,H,N,white,F,4
319,0,0,1,0,1,1,39.0,DS,high_school,N,,N,white,F,2
320,1,1,1,1,1,1,87.0,R,HS_drop_out,N,H,N,white,M,1
321,0,0,1,0,0,1,40.0,DS,trade_school,N,H,N,indian,M,3
322,0,1,1,1,1,1,87.0,D,bachelors,Y,,N,white,M,2
323,1,0,0,0,0,1,33.0,DS,high_school,N,,Y,white,M,2
324,0,0,1,0,0,1,84.0,D,some_college,N,H,Y,black,F,1
325,0,0,0,0,0,1,42.0,D,high_school,Y,H,N,hispanic,F,6
326,1,1,1,1,1,1,91.0,D,bachelors,N,H,N,white,F,2
327,1,0,1,1,0,1,34.0,D,bachelors,N,H,N,white,F,2
328,0,0,0,0,0,0,28.0,DS,high_school,N,,Y,white,M,2
329,1,1,1,1,1,1,62.0,D,trade_school,N,H,N,,M,2
330,1,1,1,1,1,1,48.0,DS,high_school,Y,H,N,,F,4
331,0,0,1,1,0,1,76.0,R,HS_drop_out,Y,H,N,white,M,1
332,0,1,1,0,1,0,68.0,D,masters,N,H,Y,,F,2
333,0,1,1,1,1,1,76.0,D,bachelors,Y,H,N,,F,2
334,0,1,1,1,1,1,61.0,D,bachelors,Y,,N,asian,M,3
335,0,1,1,0,1,1,88.0,D,trade_school,N,,N,white,F,2
336,0,1,1,1,1,1,25.0,D,some_college,N,,Y,white,M,1
337,1,0,0,0,0,1,44.0,DS,trade_school,Y,,N,white,F,2
338,1,0,1,1,0,1,33.0,DS,,N,,Y,asian,F,1
339,1,1,1,1,1,1,85.0,R,masters,N,,N,white,F,2
340,1,1,1,1,1,1,58.0,D,bachelors,N,,N,hispanic,M,2
341,1,0,0,0,0,1,67.0,D,bachelors,N,,N,,M,2
342,0,1,1,1,1,1,85.0,D,bachelors,N,H,Y,black,M,2
343,1,0,0,0,0,1,46.0,DS,trade_school,N,,Y,white,F,2
344,1,1,1,1,1,1,57.0,D,some_college,N,,Y,black,M,1
345,1,0,0,0,0,1,49.0,D,trade_school,N,,Y,,F,2
346,0,0,1,0,1,0,28.0,DS,high_school,N,H,N,white,M,4
347,1,1,1,1,1,1,82.0,R,masters,Y,H,Y,,M,2
348,1,1,1,1,1,1,88.0,AI,high_school,Y,H,Y,hispanic,M,2
349,0,1,1,1,1,1,62.0,DS,trade_school,Y,H,N,black,M,2
350,1,1,1,1,1,1,93.0,R,HS_drop_out,N,H,Y,black,F,1
351,1,0,0,0,0,1,28.0,D,some_college,N,,Y,,M,1
352,0,1,1,1,1,1,79.0,D,bachelors,N,H,N,black,F,2
353,0,0,0,0,0,1,59.0,D,bachelors,N,,Y,,M,2
354,0,1,1,1,1,1,77.0,D,trade_school,N,,Y,white,F,3
355,1,0,1,0,0,1,56.0,GR,high_school,Y,H,N,,F,5
356,0,1,1,0,0,1,56.0,R,masters,N,H,Y,white,M,2
357,0,1,1,0,0,1,28.0,D,bachelors,N,,N,white,F,2
358,0,0,0,0,0,0,28.0,D,bachelors,N,,N,white,M,2
359,1,0,1,1,0,0,60.0,R,high_school,Y,,N,,M,3
360,0,1,1,1,1,1,65.0,DS,,N,,Y,white,M,1
361,1,1,1,1,1,1,82.0,R,masters,N,H,Y,white,F,3
362,1,0,1,0,0,1,76.0,D,some_college,N,H,N,black,F,1
363,0,1,1,1,1,1,67.0,D,bachelors,N,,Y,white,M,5
364,0,1,1,1,0,1,55.0,DS,high_school,N,,N,,F,3
365,1,0,0,0,0,1,35.0,AI,,N,,Y,,F,1
366,1,1,1,1,1,1,74.0,DS,,N,H,N,white,F,1
367,1,1,1,1,1,1,55.0,D,masters,N,,N,white,F,2
368,0,1,1,1,1,1,91.0,D,bachelors,N,H,N,black,M,2
369,0,1,1,1,1,1,85.0,D,bachelors,N,H,N,black,F,2
370,1,0,1,0,0,0,45.0,D,trade_school,N,H,N,,F,2
371,0,0,1,1,0,1,85.0,D,bachelors,Y,H,N,white,F,3
